feature_id	feature_family	feature_level	parent_axis_id	feature_name	display_name	component_role	scoring_semantics	signed	scoreable	n_genes	source_resource	source_set	source_sha256	provenance_status	legacy_primary_method	legacy_primary_run	legacy_primary_module_id	support_tier	n_supporting_methods	bootstrap_median_top40_jaccard	leakage_detected	default_for_phase7	notes
axis__caf_ecm	mechanism_axis	parent_axis		caf_ecm	CAF / ECM	conceptual_parent	vector_of_explicit_components	False	False	0	v7_stage2_explicit_axis_definition	caf_ecm		response_blind_conceptual_parent					0		False	False	Stromal and extracellular-matrix programs; not spatial immune exclusion by itself.
axis__cytotoxic_t_nk	mechanism_axis	parent_axis		cytotoxic_t_nk	Cytotoxic T / NK	conceptual_parent	vector_of_explicit_components	False	False	0	v7_stage2_explicit_axis_definition	cytotoxic_t_nk		response_blind_conceptual_parent					0		False	False	T- and NK-cell cytotoxic effector programs.
axis__exhaustion	mechanism_axis	parent_axis		exhaustion	Progenitor / terminal exhaustion	conceptual_parent	vector_of_explicit_components	False	False	0	v7_stage2_explicit_axis_definition	exhaustion		response_blind_conceptual_parent					0		False	False	Progenitor, terminal and broad exhaustion are separate non-exclusive components.
axis__hypoxia	mechanism_axis	parent_axis		hypoxia	Hypoxia	conceptual_parent	vector_of_explicit_components	False	False	0	v7_stage2_explicit_axis_definition	hypoxia		response_blind_conceptual_parent					0		False	False	Cellular hypoxia programs.
axis__neutrophil_tan_net	mechanism_axis	parent_axis		neutrophil_tan_net	Neutrophil / TAN / NET-like	conceptual_parent	vector_of_explicit_components	False	False	0	v7_stage2_explicit_axis_definition	neutrophil_tan_net		response_blind_conceptual_parent					0		False	False	Neutrophil and NET-like expression; Stage 2 does not establish NET topology.
axis__suppressive_myeloid	mechanism_axis	parent_axis		suppressive_myeloid	Suppressive myeloid	conceptual_parent	vector_of_explicit_components	False	False	0	v7_stage2_explicit_axis_definition	suppressive_myeloid		response_blind_conceptual_parent					0		False	False	Suppressive-myeloid-like expression; not a causal suppressor-cell claim.
axis__tls_b	mechanism_axis	parent_axis		tls_b	TLS / B-like	conceptual_parent	vector_of_explicit_components	False	False	0	v7_stage2_explicit_axis_definition	tls_b		response_blind_conceptual_parent					0		False	False	TLS/B-like molecular program; Stage 2 does not establish a TLS structure.
axis__wnt_beta_catenin	mechanism_axis	parent_axis		wnt_beta_catenin	WNT / beta-catenin	conceptual_parent	vector_of_explicit_components	False	False	0	v7_stage2_explicit_axis_definition	wnt_beta_catenin		response_blind_conceptual_parent					0		False	False	WNT/beta-catenin expression; Stage 2 does not establish spatial exclusion.
mechanism__angiogenesis_endothelial__curated_angiogenesis	mechanism_component	component	axis__angiogenesis_endothelial	curated_angiogenesis	angiogenesis	primary	unsigned_mean_log_expression	False	True	7	v6_curated_step2_9_core	angiogenesis	291b2e98843c53618a139dc01040d5a6999ccccbefba5f05e3bb98212fc01208	response_blind_curated_or_public_pathway					0		False	False	Components remain separate; the parent axis is not a collapsed scalar.
mechanism__angiogenesis_endothelial__hallmark_angiogenesis	mechanism_component	component	axis__angiogenesis_endothelial	hallmark_angiogenesis	HALLMARK_ANGIOGENESIS	primary	unsigned_mean_log_expression	False	True	36	MSigDB_Hallmark_v2025.1	HALLMARK_ANGIOGENESIS	f22066af72e215ccb7b89d88e492c07e1eef17534c2ca7b0f9902cfecbbdd8e9	response_blind_curated_or_public_pathway					0		False	False	Components remain separate; the parent axis is not a collapsed scalar.
mechanism__angiogenesis_endothelial__reactome_vegf	mechanism_component	component	axis__angiogenesis_endothelial	reactome_vegf	REACTOME_SIGNALING_BY_VEGF	primary	unsigned_mean_log_expression	False	True	106	MSigDB_Reactome_v2025.1	REACTOME_SIGNALING_BY_VEGF	53b9b506bf3be87700cbb3cbbbb7a6faa847fbe62e65421541b14a2b763bab6b	response_blind_curated_or_public_pathway					0		False	False	Components remain separate; the parent axis is not a collapsed scalar.
mechanism__apc_ifn_apm__curated_antigen_presentation	mechanism_component	component	axis__apc_ifn_apm	curated_antigen_presentation	antigen_presentation	primary	unsigned_mean_log_expression	False	True	9	v6_curated_step2_9_core	antigen_presentation	291b2e98843c53618a139dc01040d5a6999ccccbefba5f05e3bb98212fc01208	response_blind_curated_or_public_pathway					0		False	False	Components remain separate; the parent axis is not a collapsed scalar.
mechanism__apc_ifn_apm__curated_apc_dc_activation	mechanism_component	component	axis__apc_ifn_apm	curated_apc_dc_activation	APC_DC_activation	primary	unsigned_mean_log_expression	False	True	9	v6_curated_step2_9_core	APC_DC_activation	291b2e98843c53618a139dc01040d5a6999ccccbefba5f05e3bb98212fc01208	response_blind_curated_or_public_pathway					0		False	False	Components remain separate; the parent axis is not a collapsed scalar.
mechanism__apc_ifn_apm__curated_ifn_response	mechanism_component	component	axis__apc_ifn_apm	curated_ifn_response	IFN_response	primary	signed_mean_log_expression	True	True	10	v6_curated_step2_9_core	IFN_response	291b2e98843c53618a139dc01040d5a6999ccccbefba5f05e3bb98212fc01208	response_blind_curated_or_public_pathway					0		False	False	Components remain separate; the parent axis is not a collapsed scalar.
mechanism__apc_ifn_apm__hallmark_ifn_alpha	mechanism_component	component	axis__apc_ifn_apm	hallmark_ifn_alpha	HALLMARK_INTERFERON_ALPHA_RESPONSE	primary	unsigned_mean_log_expression	False	True	97	MSigDB_Hallmark_v2025.1	HALLMARK_INTERFERON_ALPHA_RESPONSE	f22066af72e215ccb7b89d88e492c07e1eef17534c2ca7b0f9902cfecbbdd8e9	response_blind_curated_or_public_pathway					0		False	False	Components remain separate; the parent axis is not a collapsed scalar.
mechanism__apc_ifn_apm__hallmark_ifn_gamma	mechanism_component	component	axis__apc_ifn_apm	hallmark_ifn_gamma	HALLMARK_INTERFERON_GAMMA_RESPONSE	primary	unsigned_mean_log_expression	False	True	200	MSigDB_Hallmark_v2025.1	HALLMARK_INTERFERON_GAMMA_RESPONSE	f22066af72e215ccb7b89d88e492c07e1eef17534c2ca7b0f9902cfecbbdd8e9	response_blind_curated_or_public_pathway					0		False	False	Components remain separate; the parent axis is not a collapsed scalar.
mechanism__apc_ifn_apm__reactome_ifn_alpha_beta	mechanism_component	component	axis__apc_ifn_apm	reactome_ifn_alpha_beta	REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	primary	unsigned_mean_log_expression	False	True	78	MSigDB_Reactome_v2025.1	REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	53b9b506bf3be87700cbb3cbbbb7a6faa847fbe62e65421541b14a2b763bab6b	response_blind_curated_or_public_pathway					0		False	False	Components remain separate; the parent axis is not a collapsed scalar.
mechanism__apc_ifn_apm__reactome_ifn_gamma	mechanism_component	component	axis__apc_ifn_apm	reactome_ifn_gamma	REACTOME_INTERFERON_GAMMA_SIGNALING	primary	unsigned_mean_log_expression	False	True	98	MSigDB_Reactome_v2025.1	REACTOME_INTERFERON_GAMMA_SIGNALING	53b9b506bf3be87700cbb3cbbbb7a6faa847fbe62e65421541b14a2b763bab6b	response_blind_curated_or_public_pathway					0		False	False	Components remain separate; the parent axis is not a collapsed scalar.
mechanism__apc_ifn_apm__reactome_mhc_i	mechanism_component	component	axis__apc_ifn_apm	reactome_mhc_i	REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION	primary	unsigned_mean_log_expression	False	True	373	MSigDB_Reactome_v2025.1	REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION	53b9b506bf3be87700cbb3cbbbb7a6faa847fbe62e65421541b14a2b763bab6b	response_blind_curated_or_public_pathway					0		False	False	Components remain separate; the parent axis is not a collapsed scalar.
mechanism__apc_ifn_apm__reactome_mhc_ii	mechanism_component	component	axis__apc_ifn_apm	reactome_mhc_ii	REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION	primary	unsigned_mean_log_expression	False	True	126	MSigDB_Reactome_v2025.1	REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION	53b9b506bf3be87700cbb3cbbbb7a6faa847fbe62e65421541b14a2b763bab6b	response_blind_curated_or_public_pathway					0		False	False	Components remain separate; the parent axis is not a collapsed scalar.
mechanism__caf_ecm__curated_stromal_tgfb	mechanism_component	component	axis__caf_ecm	curated_stromal_tgfb	stromal_TGFb	primary	unsigned_mean_log_expression	False	True	8	v6_curated_step2_9_core	stromal_TGFb	291b2e98843c53618a139dc01040d5a6999ccccbefba5f05e3bb98212fc01208	response_blind_curated_or_public_pathway					0		False	False	Components remain separate; the parent axis is not a collapsed scalar.
mechanism__caf_ecm__hallmark_emt	mechanism_component	component	axis__caf_ecm	hallmark_emt	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	primary	unsigned_mean_log_expression	False	True	200	MSigDB_Hallmark_v2025.1	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	f22066af72e215ccb7b89d88e492c07e1eef17534c2ca7b0f9902cfecbbdd8e9	response_blind_curated_or_public_pathway					0		False	False	Components remain separate; the parent axis is not a collapsed scalar.
mechanism__caf_ecm__reactome_ecm	mechanism_component	component	axis__caf_ecm	reactome_ecm	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	primary	unsigned_mean_log_expression	False	True	321	MSigDB_Reactome_v2025.1	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	53b9b506bf3be87700cbb3cbbbb7a6faa847fbe62e65421541b14a2b763bab6b	response_blind_curated_or_public_pathway					0		False	False	Components remain separate; the parent axis is not a collapsed scalar.
mechanism__cytotoxic_t_nk__curated_cytotoxicity	mechanism_component	component	axis__cytotoxic_t_nk	curated_cytotoxicity	cytotoxicity	primary	unsigned_mean_log_expression	False	True	7	v6_curated_step2_9_core	cytotoxicity	291b2e98843c53618a139dc01040d5a6999ccccbefba5f05e3bb98212fc01208	response_blind_curated_or_public_pathway					0		False	False	Components remain separate; the parent axis is not a collapsed scalar.
mechanism__cytotoxic_t_nk__curated_nk_cytotoxicity	mechanism_component	component	axis__cytotoxic_t_nk	curated_nk_cytotoxicity	NK_cytotoxicity	primary	unsigned_mean_log_expression	False	True	8	v6_curated_step2_9_core	NK_cytotoxicity	291b2e98843c53618a139dc01040d5a6999ccccbefba5f05e3bb98212fc01208	response_blind_curated_or_public_pathway					0		False	False	Components remain separate; the parent axis is not a collapsed scalar.
mechanism__cytotoxic_t_nk__hallmark_allograft_rejection	mechanism_component	component	axis__cytotoxic_t_nk	hallmark_allograft_rejection	HALLMARK_ALLOGRAFT_REJECTION	support	unsigned_mean_log_expression	False	True	200	MSigDB_Hallmark_v2025.1	HALLMARK_ALLOGRAFT_REJECTION	f22066af72e215ccb7b89d88e492c07e1eef17534c2ca7b0f9902cfecbbdd8e9	response_blind_curated_or_public_pathway					0		False	False	Components remain separate; the parent axis is not a collapsed scalar.
mechanism__exhaustion__curated_broad_exhaustion	mechanism_component	component	axis__exhaustion	curated_broad_exhaustion	exhaustion	primary	signed_mean_log_expression	True	True	9	v6_curated_step2_9_core	exhaustion	291b2e98843c53618a139dc01040d5a6999ccccbefba5f05e3bb98212fc01208	response_blind_curated_or_public_pathway					0		False	False	Components remain separate; the parent axis is not a collapsed scalar.
mechanism__exhaustion__sentinel_progenitor_exhaustion	mechanism_component	component	axis__exhaustion	sentinel_progenitor_exhaustion	CD8_PROGENITOR_EXHAUSTION	primary	unsigned_mean_log_expression	False	True	8	v6_2_response_blind_sentinel_config	CD8_PROGENITOR_EXHAUSTION	25f2f2666fba66705bb32e266a67c016bd9112151c1b5b4cda3dafeb75f8370c	response_blind_curated_or_public_pathway					0		False	False	Components remain separate; the parent axis is not a collapsed scalar.
mechanism__exhaustion__sentinel_terminal_exhaustion	mechanism_component	component	axis__exhaustion	sentinel_terminal_exhaustion	CD8_TERMINAL_EXHAUSTION	primary	unsigned_mean_log_expression	False	True	9	v6_2_response_blind_sentinel_config	CD8_TERMINAL_EXHAUSTION	25f2f2666fba66705bb32e266a67c016bd9112151c1b5b4cda3dafeb75f8370c	response_blind_curated_or_public_pathway					0		False	False	Components remain separate; the parent axis is not a collapsed scalar.
mechanism__hypoxia__curated_hypoxia	mechanism_component	component	axis__hypoxia	curated_hypoxia	hypoxia	primary	unsigned_mean_log_expression	False	True	7	v6_curated_step2_9_core	hypoxia	291b2e98843c53618a139dc01040d5a6999ccccbefba5f05e3bb98212fc01208	response_blind_curated_or_public_pathway					0		False	False	Components remain separate; the parent axis is not a collapsed scalar.
mechanism__hypoxia__hallmark_hypoxia	mechanism_component	component	axis__hypoxia	hallmark_hypoxia	HALLMARK_HYPOXIA	primary	unsigned_mean_log_expression	False	True	200	MSigDB_Hallmark_v2025.1	HALLMARK_HYPOXIA	f22066af72e215ccb7b89d88e492c07e1eef17534c2ca7b0f9902cfecbbdd8e9	response_blind_curated_or_public_pathway					0		False	False	Components remain separate; the parent axis is not a collapsed scalar.
mechanism__neutrophil_tan_net__reactome_neutrophil_degranulation	mechanism_component	component	axis__neutrophil_tan_net	reactome_neutrophil_degranulation	REACTOME_NEUTROPHIL_DEGRANULATION	support	unsigned_mean_log_expression	False	True	478	MSigDB_Reactome_v2025.1	REACTOME_NEUTROPHIL_DEGRANULATION	53b9b506bf3be87700cbb3cbbbb7a6faa847fbe62e65421541b14a2b763bab6b	response_blind_curated_or_public_pathway					0		False	False	Components remain separate; the parent axis is not a collapsed scalar.
mechanism__neutrophil_tan_net__sentinel_neutrophil_net	mechanism_component	component	axis__neutrophil_tan_net	sentinel_neutrophil_net	NEUTROPHIL_NET	primary	unsigned_mean_log_expression	False	True	10	v6_2_response_blind_sentinel_config	NEUTROPHIL_NET	25f2f2666fba66705bb32e266a67c016bd9112151c1b5b4cda3dafeb75f8370c	response_blind_curated_or_public_pathway					0		False	False	Components remain separate; the parent axis is not a collapsed scalar.
mechanism__suppressive_myeloid__curated_myeloid_suppression	mechanism_component	component	axis__suppressive_myeloid	curated_myeloid_suppression	myeloid_suppression	primary	signed_mean_log_expression	True	True	13	v6_curated_step2_9_core	myeloid_suppression	291b2e98843c53618a139dc01040d5a6999ccccbefba5f05e3bb98212fc01208	response_blind_curated_or_public_pathway					0		False	False	Components remain separate; the parent axis is not a collapsed scalar.
mechanism__tls_b__reactome_bcr	mechanism_component	component	axis__tls_b	reactome_bcr	REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR	support	unsigned_mean_log_expression	False	True	153	MSigDB_Reactome_v2025.1	REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR	53b9b506bf3be87700cbb3cbbbb7a6faa847fbe62e65421541b14a2b763bab6b	response_blind_curated_or_public_pathway					0		False	False	Components remain separate; the parent axis is not a collapsed scalar.
mechanism__tls_b__sentinel_tls_b	mechanism_component	component	axis__tls_b	sentinel_tls_b	TLS_B	primary	unsigned_mean_log_expression	False	True	10	v6_2_response_blind_sentinel_config	TLS_B	25f2f2666fba66705bb32e266a67c016bd9112151c1b5b4cda3dafeb75f8370c	response_blind_curated_or_public_pathway					0		False	False	Components remain separate; the parent axis is not a collapsed scalar.
mechanism__wnt_beta_catenin__hallmark_wnt_beta_catenin	mechanism_component	component	axis__wnt_beta_catenin	hallmark_wnt_beta_catenin	HALLMARK_WNT_BETA_CATENIN_SIGNALING	primary	unsigned_mean_log_expression	False	True	42	MSigDB_Hallmark_v2025.1	HALLMARK_WNT_BETA_CATENIN_SIGNALING	f22066af72e215ccb7b89d88e492c07e1eef17534c2ca7b0f9902cfecbbdd8e9	response_blind_curated_or_public_pathway					0		False	False	Components remain separate; the parent axis is not a collapsed scalar.
mechanism__wnt_beta_catenin__reactome_wnt	mechanism_component	component	axis__wnt_beta_catenin	reactome_wnt	REACTOME_SIGNALING_BY_WNT	primary	unsigned_mean_log_expression	False	True	317	MSigDB_Reactome_v2025.1	REACTOME_SIGNALING_BY_WNT	53b9b506bf3be87700cbb3cbbbb7a6faa847fbe62e65421541b14a2b763bab6b	response_blind_curated_or_public_pathway					0		False	False	Components remain separate; the parent axis is not a collapsed scalar.
mechanism__wnt_beta_catenin__sentinel_tumor_wnt	mechanism_component	component	axis__wnt_beta_catenin	sentinel_tumor_wnt	TUMOR_WNT_EXCLUSION	primary	unsigned_mean_log_expression	False	True	8	v6_2_response_blind_sentinel_config	TUMOR_WNT_EXCLUSION	25f2f2666fba66705bb32e266a67c016bd9112151c1b5b4cda3dafeb75f8370c	response_blind_curated_or_public_pathway					0		False	False	Components remain separate; the parent axis is not a collapsed scalar.
