ontology_id	level	node_kind	label	parent_label	parent_ontology_id	definition	reliability_rule	allowed_downstream_use	is_exclusive	is_synthetic	legacy_annotation_role	source_version	source_sha256	provenance_status
identity::coarse::Cycling	coarse	identity	Cycling			Cells in cell cycle regardless of lineage (used as orthogonal flag).		fraction, signature	True	False		v6.2.0	917e9c0b5a9da2c72e71147b1c9284e809f3687cc473a6b1ced9129b9ba894d9	v6_response_blind_ontology_inherited
identity::coarse::DC_APC	coarse	identity	DC_APC			Professional antigen-presenting dendritic cells (cDC1, cDC2, migratory, pDC when distinguishable).		fraction, pseudobulk, signature	True	False		v6.2.0	917e9c0b5a9da2c72e71147b1c9284e809f3687cc473a6b1ced9129b9ba894d9	v6_response_blind_ontology_inherited
identity::coarse::Endothelial	coarse	identity	Endothelial			Vascular and lymphatic endothelial cells.		fraction, pseudobulk, signature	True	False		v6.2.0	917e9c0b5a9da2c72e71147b1c9284e809f3687cc473a6b1ced9129b9ba894d9	v6_response_blind_ontology_inherited
identity::coarse::Myeloid	coarse	identity	Myeloid			Monocytes, macrophages, dendritic cells, and related innate myeloid cells.		fraction, pseudobulk, signature	True	False		v6.2.0	917e9c0b5a9da2c72e71147b1c9284e809f3687cc473a6b1ced9129b9ba894d9	v6_response_blind_ontology_inherited
identity::coarse::T_NK	coarse	identity	T_NK			All T and NK lymphocytes expressing CD3, CD4, CD8, or NK receptors.		fraction, pseudobulk, signature, tcr_coupling	True	False		v6.2.0	917e9c0b5a9da2c72e71147b1c9284e809f3687cc473a6b1ced9129b9ba894d9	v6_response_blind_ontology_inherited
identity::coarse::Tumor_like	coarse	identity	Tumor_like			Malignant or tumor epithelial-like cells (cancer-type specific).		fraction, pseudobulk, signature	True	False		v6.2.0	917e9c0b5a9da2c72e71147b1c9284e809f3687cc473a6b1ced9129b9ba894d9	v6_response_blind_ontology_inherited
identity::mid::B_cell	mid	identity	B_cell	B_Plasma	identity::coarse::B_Plasma	Mature B lymphocytes (non-plasma).			True	False		v6.2.0	917e9c0b5a9da2c72e71147b1c9284e809f3687cc473a6b1ced9129b9ba894d9	v6_response_blind_ontology_inherited
identity::mid::CAF	mid	identity	CAF	CAF_Stromal	identity::coarse::CAF_Stromal	Cancer-associated fibroblasts.			True	False		v6.2.0	917e9c0b5a9da2c72e71147b1c9284e809f3687cc473a6b1ced9129b9ba894d9	v6_response_blind_ontology_inherited
identity::mid::CD4_T	mid	identity	CD4_T	T_NK	identity::coarse::T_NK	CD3+ CD4+ helper T cells (non-Treg).			True	False		v6.2.0	917e9c0b5a9da2c72e71147b1c9284e809f3687cc473a6b1ced9129b9ba894d9	v6_response_blind_ontology_inherited
identity::mid::CD8_T	mid	identity	CD8_T	T_NK	identity::coarse::T_NK	CD3+ CD8+ alpha-beta T cells.			True	False		v6.2.0	917e9c0b5a9da2c72e71147b1c9284e809f3687cc473a6b1ced9129b9ba894d9	v6_response_blind_ontology_inherited
identity::mid::Cycling_T	mid	identity	Cycling_T	Cycling	identity::coarse::Cycling	Cycling T cells.			True	False		v6.2.0	917e9c0b5a9da2c72e71147b1c9284e809f3687cc473a6b1ced9129b9ba894d9	v6_response_blind_ontology_inherited
identity::mid::Cycling_myeloid	mid	identity	Cycling_myeloid	Cycling	identity::coarse::Cycling	Cycling myeloid cells.			True	False		v6.2.0	917e9c0b5a9da2c72e71147b1c9284e809f3687cc473a6b1ced9129b9ba894d9	v6_response_blind_ontology_inherited
identity::mid::DC	mid	identity	DC	DC_APC	identity::coarse::DC_APC	Conventional dendritic cells.			True	False		v6.2.0	917e9c0b5a9da2c72e71147b1c9284e809f3687cc473a6b1ced9129b9ba894d9	v6_response_blind_ontology_inherited
identity::mid::Endothelial	mid	identity	Endothelial	Endothelial	identity::coarse::Endothelial	Endothelial cells (mid-level same as coarse).			True	False		v6.2.0	917e9c0b5a9da2c72e71147b1c9284e809f3687cc473a6b1ced9129b9ba894d9	v6_response_blind_ontology_inherited
identity::mid::Macrophage	mid	identity	Macrophage	Myeloid	identity::coarse::Myeloid	Tissue macrophages including C1QC+ and TREM2+ subsets.			True	False		v6.2.0	917e9c0b5a9da2c72e71147b1c9284e809f3687cc473a6b1ced9129b9ba894d9	v6_response_blind_ontology_inherited
identity::mid::Monocyte	mid	identity	Monocyte	Myeloid	identity::coarse::Myeloid	CD14/CD16+ monocytes (classical / non-classical).			True	False		v6.2.0	917e9c0b5a9da2c72e71147b1c9284e809f3687cc473a6b1ced9129b9ba894d9	v6_response_blind_ontology_inherited
identity::mid::NK	mid	identity	NK	T_NK	identity::coarse::T_NK	CD3- NK receptor+ cytotoxic innate lymphoid cells.			True	False		v6.2.0	917e9c0b5a9da2c72e71147b1c9284e809f3687cc473a6b1ced9129b9ba894d9	v6_response_blind_ontology_inherited
identity::mid::NKT_like	mid	identity	NKT_like	T_NK	identity::coarse::T_NK	Cells co-expressing T-cell and NK markers.			True	False		v6.2.0	917e9c0b5a9da2c72e71147b1c9284e809f3687cc473a6b1ced9129b9ba894d9	v6_response_blind_ontology_inherited
identity::mid::Neutrophil_TAN_like	mid	identity	Neutrophil_TAN_like	Myeloid	identity::coarse::Myeloid	Tumor-associated neutrophil-like cells (S100A8/9 high).			True	False		v6.2.0	917e9c0b5a9da2c72e71147b1c9284e809f3687cc473a6b1ced9129b9ba894d9	v6_response_blind_ontology_inherited
identity::mid::Plasma_cell	mid	identity	Plasma_cell	B_Plasma	identity::coarse::B_Plasma	Antibody-secreting plasma cells.			True	False		v6.2.0	917e9c0b5a9da2c72e71147b1c9284e809f3687cc473a6b1ced9129b9ba894d9	v6_response_blind_ontology_inherited
identity::mid::Treg	mid	identity	Treg	T_NK	identity::coarse::T_NK	CD3+ CD4+ FOXP3+ regulatory T cells.			True	False		v6.2.0	917e9c0b5a9da2c72e71147b1c9284e809f3687cc473a6b1ced9129b9ba894d9	v6_response_blind_ontology_inherited
identity::mid::Tumor_epithelial_like	mid	identity	Tumor_epithelial_like	Tumor_like	identity::coarse::Tumor_like	Tumor/malignant epithelial-like cells.			True	False		v6.2.0	917e9c0b5a9da2c72e71147b1c9284e809f3687cc473a6b1ced9129b9ba894d9	v6_response_blind_ontology_inherited
identity::mid::pDC	mid	identity	pDC	DC_APC	identity::coarse::DC_APC	Plasmacytoid dendritic cells.			True	False		v6.2.0	917e9c0b5a9da2c72e71147b1c9284e809f3687cc473a6b1ced9129b9ba894d9	v6_response_blind_ontology_inherited
state::fine::APC_priming_like	fine	state	APC_priming_like	DC_APC	identity::coarse::DC_APC	CLEC9A+ CD74+ HLA-DRhigh mature APCs.			False	False		v6.2.0	917e9c0b5a9da2c72e71147b1c9284e809f3687cc473a6b1ced9129b9ba894d9	v6_response_blind_ontology_inherited
state::fine::C1QC_macrophage_like	fine	state	C1QC_macrophage_like	Macrophage	identity::mid::Macrophage	C1QA/C1QB/C1QC-high tissue-resident macrophages.			False	False	annotation_radar	v6.2.0	917e9c0b5a9da2c72e71147b1c9284e809f3687cc473a6b1ced9129b9ba894d9	v6_response_blind_ontology_inherited
state::fine::CAF_inflammatory_like	fine	state	CAF_inflammatory_like	CAF	identity::mid::CAF	Inflammatory CAFs with IL6/CXCL12 context.			False	False	annotation_radar	v6.2.0	917e9c0b5a9da2c72e71147b1c9284e809f3687cc473a6b1ced9129b9ba894d9	v6_response_blind_ontology_inherited
state::fine::CAF_myofibroblast_like	fine	state	CAF_myofibroblast_like	CAF	identity::mid::CAF	ACTA2-high myofibroblast CAFs.			False	False	annotation_radar	v6.2.0	917e9c0b5a9da2c72e71147b1c9284e809f3687cc473a6b1ced9129b9ba894d9	v6_response_blind_ontology_inherited
state::fine::CD4_helper_like	fine	state	CD4_helper_like	CD4_T	identity::mid::CD4_T	CD4 T cells with helper cytokine or CCR7/TCF7 signatures.			False	False		v6.2.0	917e9c0b5a9da2c72e71147b1c9284e809f3687cc473a6b1ced9129b9ba894d9	v6_response_blind_ontology_inherited
state::fine::CD8_cytotoxic_like	fine	state	CD8_cytotoxic_like	CD8_T	identity::mid::CD8_T	GZMA/GZMB/PRF1-high cytotoxic CD8 T cells.	Requires at least two cytotoxic markers and CD8 marker support.		False	False		v6.2.0	917e9c0b5a9da2c72e71147b1c9284e809f3687cc473a6b1ced9129b9ba894d9	v6_response_blind_ontology_inherited
state::fine::CD8_exhausted_like	fine	state	CD8_exhausted_like	CD8_T	identity::mid::CD8_T	PDCD1+ LAG3+ HAVCR2+ exhausted CD8 T cells.	Requires at least two exhaustion markers; not defined by PDCD1 alone.		False	False		v6.2.0	917e9c0b5a9da2c72e71147b1c9284e809f3687cc473a6b1ced9129b9ba894d9	v6_response_blind_ontology_inherited
state::fine::CD8_progenitor_exhausted_like	fine	state	CD8_progenitor_exhausted_like	CD8_T	identity::mid::CD8_T	TCF7+ CCR7+ exhausted-like progenitor population.	Requires TCF7/CCR7 with low terminal exhaustion score.		False	False	annotation_radar	v6.2.0	917e9c0b5a9da2c72e71147b1c9284e809f3687cc473a6b1ced9129b9ba894d9	v6_response_blind_ontology_inherited
state::fine::CD8_terminal_exhausted_like	fine	state	CD8_terminal_exhausted_like	CD8_T	identity::mid::CD8_T	TCF7- HAVCR2+ terminal exhausted CD8 T cells.	Requires high terminal exhaustion score and low progenitor score.		False	False	annotation_radar	v6.2.0	917e9c0b5a9da2c72e71147b1c9284e809f3687cc473a6b1ced9129b9ba894d9	v6_response_blind_ontology_inherited
state::fine::DC_migratory_like	fine	state	DC_migratory_like	DC	identity::mid::DC	CCR7+ LAMP3+ mature migratory DCs.			False	False		v6.2.0	917e9c0b5a9da2c72e71147b1c9284e809f3687cc473a6b1ced9129b9ba894d9	v6_response_blind_ontology_inherited
state::fine::IFN_response_T_like	fine	state	IFN_response_T_like	T_NK	identity::coarse::T_NK	IFNG/STAT1/IRF1-driven interferon-response T/NK cells.			False	False		v6.2.0	917e9c0b5a9da2c72e71147b1c9284e809f3687cc473a6b1ced9129b9ba894d9	v6_response_blind_ontology_inherited
state::fine::NK_cytotoxic_like	fine	state	NK_cytotoxic_like	NK	identity::mid::NK	GNLY+ PRF1+ GZMB+ cytotoxic NK cells.			False	False		v6.2.0	917e9c0b5a9da2c72e71147b1c9284e809f3687cc473a6b1ced9129b9ba894d9	v6_response_blind_ontology_inherited
state::fine::S100A9_CD14_monocyte_like	fine	state	S100A9_CD14_monocyte_like	Monocyte	identity::mid::Monocyte	S100A8/S100A9/CD14 classical monocyte-like cells.			False	False		v6.2.0	917e9c0b5a9da2c72e71147b1c9284e809f3687cc473a6b1ced9129b9ba894d9	v6_response_blind_ontology_inherited
state::fine::TLS_B_like	fine	state	TLS_B_like	B_cell	identity::mid::B_cell	B cells with tertiary lymphoid structure signatures (CXCR5/BCL6 context).	Requires TLS context or CXCL13+ niche.		False	False	annotation_radar	v6.2.0	917e9c0b5a9da2c72e71147b1c9284e809f3687cc473a6b1ced9129b9ba894d9	v6_response_blind_ontology_inherited
state::fine::TREM2_macrophage_like	fine	state	TREM2_macrophage_like	Macrophage	identity::mid::Macrophage	TREM2+ macrophage-like state (HCC/myeloid context radar).	Requires TREM2 expression plus macrophage core markers.		False	False	annotation_radar	v6.2.0	917e9c0b5a9da2c72e71147b1c9284e809f3687cc473a6b1ced9129b9ba894d9	v6_response_blind_ontology_inherited
state::fine::Treg_suppressive_like	fine	state	Treg_suppressive_like	Treg	identity::mid::Treg	FOXP3+ IL2RA+ CTLA4+ suppressive Tregs.			False	False		v6.2.0	917e9c0b5a9da2c72e71147b1c9284e809f3687cc473a6b1ced9129b9ba894d9	v6_response_blind_ontology_inherited
state::fine::angiogenic_endothelial_like	fine	state	angiogenic_endothelial_like	Endothelial	identity::mid::Endothelial	VEGFA/KDR-high angiogenic endothelial cells.			False	False	annotation_radar	v6.2.0	917e9c0b5a9da2c72e71147b1c9284e809f3687cc473a6b1ced9129b9ba894d9	v6_response_blind_ontology_inherited
state::fine::inflammatory_myeloid_like	fine	state	inflammatory_myeloid_like	Myeloid	identity::coarse::Myeloid	CXCL9/CXCL10/CCL3-high inflammatory myeloid cells.			False	False		v6.2.0	917e9c0b5a9da2c72e71147b1c9284e809f3687cc473a6b1ced9129b9ba894d9	v6_response_blind_ontology_inherited
state::fine::neutrophil_TAN_NET_like	fine	state	neutrophil_TAN_NET_like	Neutrophil_TAN_like	identity::mid::Neutrophil_TAN_like	Neutrophil/NET-like state (S100A8/9, CXCR2, CSF3R radar).	Radar only; rare in scRNA.		False	False	annotation_radar	v6.2.0	917e9c0b5a9da2c72e71147b1c9284e809f3687cc473a6b1ced9129b9ba894d9	v6_response_blind_ontology_inherited
state::fine::plasma_Ig_like	fine	state	plasma_Ig_like	Plasma_cell	identity::mid::Plasma_cell	Immunoglobulin-secreting plasma cells (JCHAIN/MZB1/IGHA1).			False	False		v6.2.0	917e9c0b5a9da2c72e71147b1c9284e809f3687cc473a6b1ced9129b9ba894d9	v6_response_blind_ontology_inherited
state::fine::stress_dissociation_like	fine	state	stress_dissociation_like	Unknown	annotation_status::mid::Unknown	Cells dominated by dissociation/stress signatures (FOS/JUN/HSP).	Flag only; downgrade to unknown or coarse parent if ambiguous.		False	False		v6.2.0	917e9c0b5a9da2c72e71147b1c9284e809f3687cc473a6b1ced9129b9ba894d9	v6_response_blind_ontology_inherited
state::fine::suppressive_myeloid_like	fine	state	suppressive_myeloid_like	Myeloid	identity::coarse::Myeloid	Myeloid cells with IL10/TGFB/ARG1 suppressive signatures (radar only).	Requires multiple suppressive markers; not defined by TGFB1 alone.		False	False		v6.2.0	917e9c0b5a9da2c72e71147b1c9284e809f3687cc473a6b1ced9129b9ba894d9	v6_response_blind_ontology_inherited
state::fine::tumor_IFN_APM_high_like	fine	state	tumor_IFN_APM_high_like	Tumor_epithelial_like	identity::mid::Tumor_epithelial_like	Tumor cells with high interferon/ antigen-presentation machinery (B2M/HLA/IRF1).			False	False	annotation_radar	v6.2.0	917e9c0b5a9da2c72e71147b1c9284e809f3687cc473a6b1ced9129b9ba894d9	v6_response_blind_ontology_inherited
state::fine::tumor_WNT_exclusion_like	fine	state	tumor_WNT_exclusion_like	Tumor_epithelial_like	identity::mid::Tumor_epithelial_like	Tumor cells with WNT/beta-catenin immune-exclusion signature (CTNNB1/AXIN2/WNT5A radar).	Radar only; not a response claim.		False	False	annotation_radar	v6.2.0	917e9c0b5a9da2c72e71147b1c9284e809f3687cc473a6b1ced9129b9ba894d9	v6_response_blind_ontology_inherited
state::fine::tumor_cell_cycle_like	fine	state	tumor_cell_cycle_like	Tumor_epithelial_like	identity::mid::Tumor_epithelial_like	Cycling tumor cells (MKI67/TOP2A).			False	False		v6.2.0	917e9c0b5a9da2c72e71147b1c9284e809f3687cc473a6b1ced9129b9ba894d9	v6_response_blind_ontology_inherited
state::fine::vascular_endothelial_like	fine	state	vascular_endothelial_like	Endothelial	identity::mid::Endothelial	Vascular endothelial cells (PECAM1/VWF).			False	False		v6.2.0	917e9c0b5a9da2c72e71147b1c9284e809f3687cc473a6b1ced9129b9ba894d9	v6_response_blind_ontology_inherited
