feature_family	feature_id	modality	aggregation_level	n_observations	n_scoreable	n_datasets	n_patients	median_coverage	n_exact_pairs	n_support_only_pairs	paired_spearman	paired_diagnostic_status	replicate_profile_median_spearman	n_replicate_pairs	repeatability_status	technical_status	D2_class	D2_reason	modality_evidence_status	n_paired_bulk_evidence	perturbation_repeatability
legacy_fm	FM03	bulk_perturbation	perturbation_sample	24	24	1	1	0.9944949883054465	2.0	1.0		paired_descriptive_insufficient_n	0.9047619047619048	3.0	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM	interface_only	interface_only_no_directional_validation	GSE193736_repeatability_does_not_supply_perturbation_or_response_direction	interface_only_no_directional_validation	0.0	0.9047619047619048
legacy_fm	FM03	scRNA	expression_unit	32821	32821	44	1106	0.9965402688535437	2.0	1.0		paired_descriptive_insufficient_n	0.9047619047619048	3.0	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM	valid	joint_representation_with_uncertainty	scoreable_but_stability_or_null_evidence_is_incomplete_or_overlapping	scRNA_D2_inherited	0.0	
legacy_fm	FM03	spatial	bin	0	0	0	0									not_run	pending_stage3	NOT_RUN_PENDING_STAGE3			
legacy_fm	FM03	spatial	region	0	0	0	0									not_run	pending_stage3	NOT_RUN_PENDING_STAGE3			
legacy_fm	FM03	spatial	spot	0	0	0	0									not_run	pending_stage3	NOT_RUN_PENDING_STAGE3			
legacy_fm	FM04	bulkRNA	bulk_sample	24	24	1	24	0.9832873864084688	2.0	1.0		paired_descriptive_insufficient_n	0.6428571428571429	3.0	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM	descriptive_only	paired_descriptive_insufficient_n	GSE207422_exact_pairs_are_response_blind_and_insufficient_for_directional_validation	paired_descriptive_insufficient_n	2.0	
legacy_fm	FM04	bulk_perturbation	perturbation_sample	24	24	1	1	0.9674436701527073	2.0	1.0		paired_descriptive_insufficient_n	0.6428571428571429	3.0	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM	interface_only	interface_only_no_directional_validation	GSE193736_repeatability_does_not_supply_perturbation_or_response_direction	interface_only_no_directional_validation	0.0	0.6428571428571429
legacy_fm	FM04	scRNA	expression_unit	32821	32821	44	1106	0.9875799921926702	2.0	1.0		paired_descriptive_insufficient_n	0.6428571428571429	3.0	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM	valid	joint_representation_with_uncertainty	scoreable_but_stability_or_null_evidence_is_incomplete_or_overlapping	scRNA_D2_inherited	0.0	
legacy_fm	FM04	spatial	bin	0	0	0	0									not_run	pending_stage3	NOT_RUN_PENDING_STAGE3			
legacy_fm	FM04	spatial	region	0	0	0	0									not_run	pending_stage3	NOT_RUN_PENDING_STAGE3			
legacy_fm	FM04	spatial	spot	0	0	0	0									not_run	pending_stage3	NOT_RUN_PENDING_STAGE3			
legacy_fm	FM05	bulkRNA	bulk_sample	24	24	1	24	0.9771386352241985	2.0	1.0		paired_descriptive_insufficient_n	0.7857142857142858	3.0	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM	descriptive_only	paired_descriptive_insufficient_n	GSE207422_exact_pairs_are_response_blind_and_insufficient_for_directional_validation	paired_descriptive_insufficient_n	2.0	
legacy_fm	FM05	bulk_perturbation	perturbation_sample	24	24	1	1	0.989025718113361	2.0	1.0		paired_descriptive_insufficient_n	0.7857142857142858	3.0	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM	interface_only	interface_only_no_directional_validation	GSE193736_repeatability_does_not_supply_perturbation_or_response_direction	interface_only_no_directional_validation	0.0	0.7857142857142858
legacy_fm	FM05	scRNA	expression_unit	32821	32821	44	1106	0.9916375980083038	2.0	1.0		paired_descriptive_insufficient_n	0.7857142857142858	3.0	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM	valid	measurable	positive_study_family_outer_stability_with_technical_route_concordance_and_null_separation	scRNA_D2_inherited	0.0	
legacy_fm	FM05	spatial	bin	0	0	0	0									not_run	pending_stage3	NOT_RUN_PENDING_STAGE3			
legacy_fm	FM05	spatial	region	0	0	0	0									not_run	pending_stage3	NOT_RUN_PENDING_STAGE3			
legacy_fm	FM05	spatial	spot	0	0	0	0									not_run	pending_stage3	NOT_RUN_PENDING_STAGE3			
legacy_fm	FM06	bulkRNA	bulk_sample	24	24	1	24	0.7902585387426505	2.0	1.0		paired_descriptive_insufficient_n	0.9761904761904763	3.0	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM	descriptive_only	paired_descriptive_insufficient_n	GSE207422_exact_pairs_are_response_blind_and_insufficient_for_directional_validation	paired_descriptive_insufficient_n	2.0	
legacy_fm	FM06	bulk_perturbation	perturbation_sample	24	24	1	1	0.8740138966455868	2.0	1.0		paired_descriptive_insufficient_n	0.9761904761904763	3.0	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM	interface_only	interface_only_no_directional_validation	GSE193736_repeatability_does_not_supply_perturbation_or_response_direction	interface_only_no_directional_validation	0.0	0.9761904761904763
legacy_fm	FM06	scRNA	expression_unit	32821	32821	44	1106	0.8462023840174258	2.0	1.0		paired_descriptive_insufficient_n	0.9761904761904763	3.0	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM	valid	joint_representation_with_uncertainty	scoreable_but_stability_or_null_evidence_is_incomplete_or_overlapping	scRNA_D2_inherited	0.0	
legacy_fm	FM06	spatial	bin	0	0	0	0									not_run	pending_stage3	NOT_RUN_PENDING_STAGE3			
legacy_fm	FM06	spatial	region	0	0	0	0									not_run	pending_stage3	NOT_RUN_PENDING_STAGE3			
legacy_fm	FM06	spatial	spot	0	0	0	0									not_run	pending_stage3	NOT_RUN_PENDING_STAGE3			
legacy_fm	FM07	bulkRNA	bulk_sample	24	24	1	24	0.9951794005217456	2.0	1.0		paired_descriptive_insufficient_n	0.9761904761904763	3.0	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM	descriptive_only	paired_descriptive_insufficient_n	GSE207422_exact_pairs_are_response_blind_and_insufficient_for_directional_validation	paired_descriptive_insufficient_n	2.0	
legacy_fm	FM07	bulk_perturbation	perturbation_sample	24	24	1	1	0.9907158037836017	2.0	1.0		paired_descriptive_insufficient_n	0.9761904761904763	3.0	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM	interface_only	interface_only_no_directional_validation	GSE193736_repeatability_does_not_supply_perturbation_or_response_direction	interface_only_no_directional_validation	0.0	0.9761904761904763
legacy_fm	FM07	scRNA	expression_unit	32821	32821	44	1106	0.9991586122902992	2.0	1.0		paired_descriptive_insufficient_n	0.9761904761904763	3.0	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM	valid	joint_representation_with_uncertainty	scoreable_but_stability_or_null_evidence_is_incomplete_or_overlapping	scRNA_D2_inherited	0.0	
legacy_fm	FM07	spatial	bin	0	0	0	0									not_run	pending_stage3	NOT_RUN_PENDING_STAGE3			
legacy_fm	FM07	spatial	region	0	0	0	0									not_run	pending_stage3	NOT_RUN_PENDING_STAGE3			
legacy_fm	FM07	spatial	spot	0	0	0	0									not_run	pending_stage3	NOT_RUN_PENDING_STAGE3			
legacy_fm	FM08	bulkRNA	bulk_sample	24	24	1	24	0.9658477087662072	2.0	1.0		paired_descriptive_insufficient_n	0.7619047619047621	3.0	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM	descriptive_only	paired_descriptive_insufficient_n	GSE207422_exact_pairs_are_response_blind_and_insufficient_for_directional_validation	paired_descriptive_insufficient_n	2.0	
legacy_fm	FM08	bulk_perturbation	perturbation_sample	24	24	1	1	0.9460804699541329	2.0	1.0		paired_descriptive_insufficient_n	0.7619047619047621	3.0	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM	interface_only	interface_only_no_directional_validation	GSE193736_repeatability_does_not_supply_perturbation_or_response_direction	interface_only_no_directional_validation	0.0	0.7619047619047621
legacy_fm	FM08	scRNA	expression_unit	32821	32821	44	1106	0.917333209150945	2.0	1.0		paired_descriptive_insufficient_n	0.7619047619047621	3.0	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM	valid	measurable	positive_study_family_outer_stability_with_technical_route_concordance_and_null_separation	scRNA_D2_inherited	0.0	
legacy_fm	FM08	spatial	bin	0	0	0	0									not_run	pending_stage3	NOT_RUN_PENDING_STAGE3			
legacy_fm	FM08	spatial	region	0	0	0	0									not_run	pending_stage3	NOT_RUN_PENDING_STAGE3			
legacy_fm	FM08	spatial	spot	0	0	0	0									not_run	pending_stage3	NOT_RUN_PENDING_STAGE3			
mechanism_axis	axis__angiogenesis_endothelial	spatial	bin	0	0	0	0									not_run	pending_stage3	NOT_RUN_PENDING_STAGE3			
mechanism_axis	axis__angiogenesis_endothelial	spatial	region	0	0	0	0									not_run	pending_stage3	NOT_RUN_PENDING_STAGE3			
mechanism_axis	axis__angiogenesis_endothelial	spatial	spot	0	0	0	0									not_run	pending_stage3	NOT_RUN_PENDING_STAGE3			
mechanism_axis	axis__apc_ifn_apm	spatial	bin	0	0	0	0									not_run	pending_stage3	NOT_RUN_PENDING_STAGE3			
mechanism_axis	axis__apc_ifn_apm	spatial	region	0	0	0	0									not_run	pending_stage3	NOT_RUN_PENDING_STAGE3			
mechanism_axis	axis__apc_ifn_apm	spatial	spot	0	0	0	0									not_run	pending_stage3	NOT_RUN_PENDING_STAGE3			
mechanism_axis	axis__caf_ecm	spatial	bin	0	0	0	0									not_run	pending_stage3	NOT_RUN_PENDING_STAGE3			
mechanism_axis	axis__caf_ecm	spatial	region	0	0	0	0									not_run	pending_stage3	NOT_RUN_PENDING_STAGE3			
mechanism_axis	axis__caf_ecm	spatial	spot	0	0	0	0									not_run	pending_stage3	NOT_RUN_PENDING_STAGE3			
mechanism_axis	axis__cytotoxic_t_nk	spatial	bin	0	0	0	0									not_run	pending_stage3	NOT_RUN_PENDING_STAGE3			
mechanism_axis	axis__cytotoxic_t_nk	spatial	region	0	0	0	0									not_run	pending_stage3	NOT_RUN_PENDING_STAGE3			
mechanism_axis	axis__cytotoxic_t_nk	spatial	spot	0	0	0	0									not_run	pending_stage3	NOT_RUN_PENDING_STAGE3			
mechanism_axis	axis__exhaustion	spatial	bin	0	0	0	0									not_run	pending_stage3	NOT_RUN_PENDING_STAGE3			
mechanism_axis	axis__exhaustion	spatial	region	0	0	0	0									not_run	pending_stage3	NOT_RUN_PENDING_STAGE3			
mechanism_axis	axis__exhaustion	spatial	spot	0	0	0	0									not_run	pending_stage3	NOT_RUN_PENDING_STAGE3			
mechanism_axis	axis__hypoxia	spatial	bin	0	0	0	0									not_run	pending_stage3	NOT_RUN_PENDING_STAGE3			
mechanism_axis	axis__hypoxia	spatial	region	0	0	0	0									not_run	pending_stage3	NOT_RUN_PENDING_STAGE3			
mechanism_axis	axis__hypoxia	spatial	spot	0	0	0	0									not_run	pending_stage3	NOT_RUN_PENDING_STAGE3			
mechanism_axis	axis__neutrophil_tan_net	spatial	bin	0	0	0	0									not_run	pending_stage3	NOT_RUN_PENDING_STAGE3			
mechanism_axis	axis__neutrophil_tan_net	spatial	region	0	0	0	0									not_run	pending_stage3	NOT_RUN_PENDING_STAGE3			
mechanism_axis	axis__neutrophil_tan_net	spatial	spot	0	0	0	0									not_run	pending_stage3	NOT_RUN_PENDING_STAGE3			
mechanism_axis	axis__suppressive_myeloid	spatial	bin	0	0	0	0									not_run	pending_stage3	NOT_RUN_PENDING_STAGE3			
mechanism_axis	axis__suppressive_myeloid	spatial	region	0	0	0	0									not_run	pending_stage3	NOT_RUN_PENDING_STAGE3			
mechanism_axis	axis__suppressive_myeloid	spatial	spot	0	0	0	0									not_run	pending_stage3	NOT_RUN_PENDING_STAGE3			
mechanism_axis	axis__tls_b	spatial	bin	0	0	0	0									not_run	pending_stage3	NOT_RUN_PENDING_STAGE3			
mechanism_axis	axis__tls_b	spatial	region	0	0	0	0									not_run	pending_stage3	NOT_RUN_PENDING_STAGE3			
mechanism_axis	axis__tls_b	spatial	spot	0	0	0	0									not_run	pending_stage3	NOT_RUN_PENDING_STAGE3			
mechanism_axis	axis__wnt_beta_catenin	spatial	bin	0	0	0	0									not_run	pending_stage3	NOT_RUN_PENDING_STAGE3			
mechanism_axis	axis__wnt_beta_catenin	spatial	region	0	0	0	0									not_run	pending_stage3	NOT_RUN_PENDING_STAGE3			
mechanism_axis	axis__wnt_beta_catenin	spatial	spot	0	0	0	0									not_run	pending_stage3	NOT_RUN_PENDING_STAGE3			
mechanism_component	mechanism__angiogenesis_endothelial__curated_angiogenesis	bulkRNA	bulk_sample	24	24	1	24	1.0	2.0	1.0		paired_descriptive_insufficient_n	0.8333333333333335	3.0	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM	descriptive_only	paired_descriptive_insufficient_n	GSE207422_exact_pairs_are_response_blind_and_insufficient_for_directional_validation	paired_descriptive_insufficient_n	2.0	
mechanism_component	mechanism__angiogenesis_endothelial__curated_angiogenesis	bulk_perturbation	perturbation_sample	24	24	1	1	1.0	2.0	1.0		paired_descriptive_insufficient_n	0.8333333333333335	3.0	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM	interface_only	interface_only_no_directional_validation	GSE193736_repeatability_does_not_supply_perturbation_or_response_direction	interface_only_no_directional_validation	0.0	0.8333333333333335
mechanism_component	mechanism__angiogenesis_endothelial__curated_angiogenesis	scRNA	expression_unit	32821	32821	44	1106	1.0	2.0	1.0		paired_descriptive_insufficient_n	0.8333333333333335	3.0	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM	valid	joint_representation_with_uncertainty	scoreable_but_stability_or_null_evidence_is_incomplete_or_overlapping	scRNA_D2_inherited	0.0	
mechanism_component	mechanism__angiogenesis_endothelial__curated_angiogenesis	spatial	bin	0	0	0	0									not_run	pending_stage3	NOT_RUN_PENDING_STAGE3			
mechanism_component	mechanism__angiogenesis_endothelial__curated_angiogenesis	spatial	region	0	0	0	0									not_run	pending_stage3	NOT_RUN_PENDING_STAGE3			
mechanism_component	mechanism__angiogenesis_endothelial__curated_angiogenesis	spatial	spot	0	0	0	0									not_run	pending_stage3	NOT_RUN_PENDING_STAGE3			
mechanism_component	mechanism__angiogenesis_endothelial__hallmark_angiogenesis	bulkRNA	bulk_sample	24	24	1	24	1.0	2.0	1.0		paired_descriptive_insufficient_n	0.9523809523809524	3.0	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM	descriptive_only	paired_descriptive_insufficient_n	GSE207422_exact_pairs_are_response_blind_and_insufficient_for_directional_validation	paired_descriptive_insufficient_n	2.0	
mechanism_component	mechanism__angiogenesis_endothelial__hallmark_angiogenesis	bulk_perturbation	perturbation_sample	24	24	1	1	0.9166666666666666	2.0	1.0		paired_descriptive_insufficient_n	0.9523809523809524	3.0	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM	interface_only	interface_only_no_directional_validation	GSE193736_repeatability_does_not_supply_perturbation_or_response_direction	interface_only_no_directional_validation	0.0	0.9523809523809524
mechanism_component	mechanism__angiogenesis_endothelial__hallmark_angiogenesis	scRNA	expression_unit	32821	32821	44	1106	1.0	2.0	1.0		paired_descriptive_insufficient_n	0.9523809523809524	3.0	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM	valid	joint_representation_with_uncertainty	scoreable_but_stability_or_null_evidence_is_incomplete_or_overlapping	scRNA_D2_inherited	0.0	
mechanism_component	mechanism__angiogenesis_endothelial__hallmark_angiogenesis	spatial	bin	0	0	0	0									not_run	pending_stage3	NOT_RUN_PENDING_STAGE3			
mechanism_component	mechanism__angiogenesis_endothelial__hallmark_angiogenesis	spatial	region	0	0	0	0									not_run	pending_stage3	NOT_RUN_PENDING_STAGE3			
mechanism_component	mechanism__angiogenesis_endothelial__hallmark_angiogenesis	spatial	spot	0	0	0	0									not_run	pending_stage3	NOT_RUN_PENDING_STAGE3			
mechanism_component	mechanism__angiogenesis_endothelial__reactome_vegf	bulkRNA	bulk_sample	24	24	1	24	0.9905660377358491	2.0	1.0		paired_descriptive_insufficient_n	0.880952380952381	3.0	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM	descriptive_only	paired_descriptive_insufficient_n	GSE207422_exact_pairs_are_response_blind_and_insufficient_for_directional_validation	paired_descriptive_insufficient_n	2.0	
mechanism_component	mechanism__angiogenesis_endothelial__reactome_vegf	bulk_perturbation	perturbation_sample	24	24	1	1	0.9905660377358491	2.0	1.0		paired_descriptive_insufficient_n	0.880952380952381	3.0	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM	interface_only	interface_only_no_directional_validation	GSE193736_repeatability_does_not_supply_perturbation_or_response_direction	interface_only_no_directional_validation	0.0	0.880952380952381
mechanism_component	mechanism__angiogenesis_endothelial__reactome_vegf	scRNA	expression_unit	32821	32821	44	1106	1.0	2.0	1.0		paired_descriptive_insufficient_n	0.880952380952381	3.0	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM	valid	joint_representation_with_uncertainty	scoreable_but_stability_or_null_evidence_is_incomplete_or_overlapping	scRNA_D2_inherited	0.0	
mechanism_component	mechanism__angiogenesis_endothelial__reactome_vegf	spatial	bin	0	0	0	0									not_run	pending_stage3	NOT_RUN_PENDING_STAGE3			
mechanism_component	mechanism__angiogenesis_endothelial__reactome_vegf	spatial	region	0	0	0	0									not_run	pending_stage3	NOT_RUN_PENDING_STAGE3			
mechanism_component	mechanism__angiogenesis_endothelial__reactome_vegf	spatial	spot	0	0	0	0									not_run	pending_stage3	NOT_RUN_PENDING_STAGE3			
mechanism_component	mechanism__apc_ifn_apm__curated_antigen_presentation	bulkRNA	bulk_sample	24	24	1	24	1.0	2.0	1.0		paired_descriptive_insufficient_n	0.8333333333333335	3.0	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM	descriptive_only	paired_descriptive_insufficient_n	GSE207422_exact_pairs_are_response_blind_and_insufficient_for_directional_validation	paired_descriptive_insufficient_n	2.0	
mechanism_component	mechanism__apc_ifn_apm__curated_antigen_presentation	bulk_perturbation	perturbation_sample	24	24	1	1	1.0	2.0	1.0		paired_descriptive_insufficient_n	0.8333333333333335	3.0	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM	interface_only	interface_only_no_directional_validation	GSE193736_repeatability_does_not_supply_perturbation_or_response_direction	interface_only_no_directional_validation	0.0	0.8333333333333335
mechanism_component	mechanism__apc_ifn_apm__curated_antigen_presentation	scRNA	expression_unit	32821	32821	44	1106	1.0	2.0	1.0		paired_descriptive_insufficient_n	0.8333333333333335	3.0	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM	valid	measurable	positive_study_family_outer_stability_with_technical_route_concordance_and_null_separation	scRNA_D2_inherited	0.0	
mechanism_component	mechanism__apc_ifn_apm__curated_antigen_presentation	spatial	bin	0	0	0	0									not_run	pending_stage3	NOT_RUN_PENDING_STAGE3			
mechanism_component	mechanism__apc_ifn_apm__curated_antigen_presentation	spatial	region	0	0	0	0									not_run	pending_stage3	NOT_RUN_PENDING_STAGE3			
mechanism_component	mechanism__apc_ifn_apm__curated_antigen_presentation	spatial	spot	0	0	0	0									not_run	pending_stage3	NOT_RUN_PENDING_STAGE3			
mechanism_component	mechanism__apc_ifn_apm__curated_apc_dc_activation	bulkRNA	bulk_sample	24	24	1	24	1.0	2.0	1.0		paired_descriptive_insufficient_n	0.9761904761904763	3.0	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM	descriptive_only	paired_descriptive_insufficient_n	GSE207422_exact_pairs_are_response_blind_and_insufficient_for_directional_validation	paired_descriptive_insufficient_n	2.0	
mechanism_component	mechanism__apc_ifn_apm__curated_apc_dc_activation	bulk_perturbation	perturbation_sample	24	24	1	1	0.8888888888888888	2.0	1.0		paired_descriptive_insufficient_n	0.9761904761904763	3.0	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM	interface_only	interface_only_no_directional_validation	GSE193736_repeatability_does_not_supply_perturbation_or_response_direction	interface_only_no_directional_validation	0.0	0.9761904761904763
mechanism_component	mechanism__apc_ifn_apm__curated_apc_dc_activation	scRNA	expression_unit	32821	32821	44	1106	1.0	2.0	1.0		paired_descriptive_insufficient_n	0.9761904761904763	3.0	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM	valid	joint_representation_with_uncertainty	scoreable_but_stability_or_null_evidence_is_incomplete_or_overlapping	scRNA_D2_inherited	0.0	
mechanism_component	mechanism__apc_ifn_apm__curated_apc_dc_activation	spatial	bin	0	0	0	0									not_run	pending_stage3	NOT_RUN_PENDING_STAGE3			
mechanism_component	mechanism__apc_ifn_apm__curated_apc_dc_activation	spatial	region	0	0	0	0									not_run	pending_stage3	NOT_RUN_PENDING_STAGE3			
mechanism_component	mechanism__apc_ifn_apm__curated_apc_dc_activation	spatial	spot	0	0	0	0									not_run	pending_stage3	NOT_RUN_PENDING_STAGE3			
mechanism_component	mechanism__apc_ifn_apm__curated_ifn_response	bulkRNA	bulk_sample	24	24	1	24	1.0	2.0	1.0		paired_descriptive_insufficient_n	0.8571428571428572	3.0	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM	descriptive_only	paired_descriptive_insufficient_n	GSE207422_exact_pairs_are_response_blind_and_insufficient_for_directional_validation	paired_descriptive_insufficient_n	2.0	
mechanism_component	mechanism__apc_ifn_apm__curated_ifn_response	bulk_perturbation	perturbation_sample	24	24	1	1	1.0	2.0	1.0		paired_descriptive_insufficient_n	0.8571428571428572	3.0	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM	interface_only	interface_only_no_directional_validation	GSE193736_repeatability_does_not_supply_perturbation_or_response_direction	interface_only_no_directional_validation	0.0	0.8571428571428572
mechanism_component	mechanism__apc_ifn_apm__curated_ifn_response	scRNA	expression_unit	32821	32821	44	1106	1.0	2.0	1.0		paired_descriptive_insufficient_n	0.8571428571428572	3.0	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM	valid	joint_representation_with_uncertainty	scoreable_but_stability_or_null_evidence_is_incomplete_or_overlapping	scRNA_D2_inherited	0.0	
mechanism_component	mechanism__apc_ifn_apm__curated_ifn_response	spatial	bin	0	0	0	0									not_run	pending_stage3	NOT_RUN_PENDING_STAGE3			
mechanism_component	mechanism__apc_ifn_apm__curated_ifn_response	spatial	region	0	0	0	0									not_run	pending_stage3	NOT_RUN_PENDING_STAGE3			
mechanism_component	mechanism__apc_ifn_apm__curated_ifn_response	spatial	spot	0	0	0	0									not_run	pending_stage3	NOT_RUN_PENDING_STAGE3			
mechanism_component	mechanism__apc_ifn_apm__hallmark_ifn_alpha	bulkRNA	bulk_sample	24	24	1	24	0.979381443298969	2.0	1.0		paired_descriptive_insufficient_n	0.9047619047619048	3.0	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM	descriptive_only	paired_descriptive_insufficient_n	GSE207422_exact_pairs_are_response_blind_and_insufficient_for_directional_validation	paired_descriptive_insufficient_n	2.0	
mechanism_component	mechanism__apc_ifn_apm__hallmark_ifn_alpha	bulk_perturbation	perturbation_sample	24	24	1	1	1.0	2.0	1.0		paired_descriptive_insufficient_n	0.9047619047619048	3.0	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM	interface_only	interface_only_no_directional_validation	GSE193736_repeatability_does_not_supply_perturbation_or_response_direction	interface_only_no_directional_validation	0.0	0.9047619047619048
mechanism_component	mechanism__apc_ifn_apm__hallmark_ifn_alpha	scRNA	expression_unit	32821	32821	44	1106	1.0	2.0	1.0		paired_descriptive_insufficient_n	0.9047619047619048	3.0	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM	valid	joint_representation_with_uncertainty	scoreable_but_stability_or_null_evidence_is_incomplete_or_overlapping	scRNA_D2_inherited	0.0	
mechanism_component	mechanism__apc_ifn_apm__hallmark_ifn_alpha	spatial	bin	0	0	0	0									not_run	pending_stage3	NOT_RUN_PENDING_STAGE3			
mechanism_component	mechanism__apc_ifn_apm__hallmark_ifn_alpha	spatial	region	0	0	0	0									not_run	pending_stage3	NOT_RUN_PENDING_STAGE3			
