feature_id	n_conditions	n_replicates	n_replicate_pairs	minimum_pairwise_complete_conditions	replicate_profile_median_spearman	repeatability_metric	repeatability_status
mechanism__apc_ifn_apm__reactome_ifn_gamma	8	3	3	8	0.8571428571428572	median_pairwise_spearman_across_condition_profiles	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM
mechanism__apc_ifn_apm__reactome_mhc_i	8	3	3	8	0.6428571428571429	median_pairwise_spearman_across_condition_profiles	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM
mechanism__apc_ifn_apm__reactome_mhc_ii	8	3	3	8	0.9047619047619048	median_pairwise_spearman_across_condition_profiles	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM
mechanism__caf_ecm__curated_stromal_tgfb	8	3	3	8	0.7619047619047621	median_pairwise_spearman_across_condition_profiles	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM
mechanism__caf_ecm__hallmark_emt	8	3	3	8	0.8333333333333335	median_pairwise_spearman_across_condition_profiles	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM
mechanism__caf_ecm__reactome_ecm	8	3	3	8	0.880952380952381	median_pairwise_spearman_across_condition_profiles	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM
mechanism__cytotoxic_t_nk__curated_cytotoxicity	8	3	3	8	0.9761904761904763	median_pairwise_spearman_across_condition_profiles	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM
mechanism__cytotoxic_t_nk__curated_nk_cytotoxicity	8	3	3	8	0.9285714285714287	median_pairwise_spearman_across_condition_profiles	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM
mechanism__cytotoxic_t_nk__hallmark_allograft_rejection	8	3	3	8	0.880952380952381	median_pairwise_spearman_across_condition_profiles	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM
mechanism__exhaustion__curated_broad_exhaustion	8	3	3	8	0.9285714285714287	median_pairwise_spearman_across_condition_profiles	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM
mechanism__exhaustion__sentinel_progenitor_exhaustion	8	3	3	8	0.9047619047619048	median_pairwise_spearman_across_condition_profiles	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM
mechanism__exhaustion__sentinel_terminal_exhaustion	8	3	3	8	0.9761904761904763	median_pairwise_spearman_across_condition_profiles	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM
mechanism__hypoxia__curated_hypoxia	8	3	3	8	0.9047619047619048	median_pairwise_spearman_across_condition_profiles	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM
mechanism__hypoxia__hallmark_hypoxia	8	3	3	8	0.9761904761904763	median_pairwise_spearman_across_condition_profiles	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM
mechanism__neutrophil_tan_net__reactome_neutrophil_degranulation	8	3	3	8	0.9047619047619048	median_pairwise_spearman_across_condition_profiles	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM
mechanism__neutrophil_tan_net__sentinel_neutrophil_net	8	3	3	8	0.8095238095238096	median_pairwise_spearman_across_condition_profiles	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM
mechanism__suppressive_myeloid__curated_myeloid_suppression	8	3	3	8	0.3333333333333334	median_pairwise_spearman_across_condition_profiles	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM
mechanism__tls_b__reactome_bcr	8	3	3	8	0.3333333333333334	median_pairwise_spearman_across_condition_profiles	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM
mechanism__tls_b__sentinel_tls_b	8	3	3	8	0.8095238095238096	median_pairwise_spearman_across_condition_profiles	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM
mechanism__wnt_beta_catenin__hallmark_wnt_beta_catenin	8	3	3	8	0.6666666666666669	median_pairwise_spearman_across_condition_profiles	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM
mechanism__wnt_beta_catenin__reactome_wnt	8	3	3	8	0.9047619047619048	median_pairwise_spearman_across_condition_profiles	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM
mechanism__wnt_beta_catenin__sentinel_tumor_wnt	8	3	3	8	0.5952380952380953	median_pairwise_spearman_across_condition_profiles	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM
