duplicate_group_id	member_type	member_id	relation_type	evidence_grade	resolution	leakage_group_id	source_project	claim_impact
006::GSE120575::patient::GSE120575::gse120575_P4	sample_pair	006::GSE120575::gse120575_Post_P4__006::GSE120575::gse120575_Pre_P4	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE120575::patient::GSE120575::gse120575_P4	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
006::GSE120575::patient::GSE120575::gse120575_P6	sample_pair	006::GSE120575::gse120575_Post_P6__006::GSE120575::gse120575_Pre_P6	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE120575::patient::GSE120575::gse120575_P6	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
006::GSE120575::patient::GSE120575::gse120575_P7	sample_pair	006::GSE120575::gse120575_Post_P7__006::GSE120575::gse120575_Pre_P7	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE120575::patient::GSE120575::gse120575_P7	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
006::GSE120575::patient::GSE120575::gse120575_P8	sample_pair	006::GSE120575::gse120575_Post_P8__006::GSE120575::gse120575_Pre_P8	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE120575::patient::GSE120575::gse120575_P8	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
006::GSE140228_droplet::patient::GSE140228_droplet::D20171109	sample_pair	006::GSE140228_droplet::D20171109_A__006::GSE140228_droplet::D20171109_B	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE140228_droplet::patient::GSE140228_droplet::D20171109	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
006::GSE140228_droplet::patient::GSE140228_droplet::D20171109	sample_pair	006::GSE140228_droplet::D20171109_B__006::GSE140228_droplet::D20171109_LN	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE140228_droplet::patient::GSE140228_droplet::D20171109	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
006::GSE140228_droplet::patient::GSE140228_droplet::D20171109	sample_pair	006::GSE140228_droplet::D20171109_LN__006::GSE140228_droplet::D20171109_Nplus	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE140228_droplet::patient::GSE140228_droplet::D20171109	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
006::GSE140228_droplet::patient::GSE140228_droplet::D20171109	sample_pair	006::GSE140228_droplet::D20171109_Nplus__006::GSE140228_droplet::D20171109_Tplus	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE140228_droplet::patient::GSE140228_droplet::D20171109	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
006::GSE140228_droplet::patient::GSE140228_droplet::D20171215	sample_pair	006::GSE140228_droplet::D20171215_A__006::GSE140228_droplet::D20171215_B	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE140228_droplet::patient::GSE140228_droplet::D20171215	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
006::GSE140228_droplet::patient::GSE140228_droplet::D20171215	sample_pair	006::GSE140228_droplet::D20171215_B__006::GSE140228_droplet::D20171215_LN	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE140228_droplet::patient::GSE140228_droplet::D20171215	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
006::GSE140228_droplet::patient::GSE140228_droplet::D20171215	sample_pair	006::GSE140228_droplet::D20171215_LN__006::GSE140228_droplet::D20171215_N	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE140228_droplet::patient::GSE140228_droplet::D20171215	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
006::GSE140228_droplet::patient::GSE140228_droplet::D20171215	sample_pair	006::GSE140228_droplet::D20171215_N__006::GSE140228_droplet::D20171215_T	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE140228_droplet::patient::GSE140228_droplet::D20171215	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
006::GSE140228_droplet::patient::GSE140228_droplet::D20180108	sample_pair	006::GSE140228_droplet::D20180108_B__006::GSE140228_droplet::D20180108_N	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE140228_droplet::patient::GSE140228_droplet::D20180108	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
006::GSE140228_droplet::patient::GSE140228_droplet::D20180108	sample_pair	006::GSE140228_droplet::D20180108_N__006::GSE140228_droplet::D20180108_T	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE140228_droplet::patient::GSE140228_droplet::D20180108	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
006::GSE140228_droplet::patient::GSE140228_droplet::D20180108	sample_pair	006::GSE140228_droplet::D20180108_T__006::GSE140228_droplet::D20180108_TC	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE140228_droplet::patient::GSE140228_droplet::D20180108	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
006::GSE140228_droplet::patient::GSE140228_droplet::D20180110	sample_pair	006::GSE140228_droplet::D20180110_A__006::GSE140228_droplet::D20180110_N	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE140228_droplet::patient::GSE140228_droplet::D20180110	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
006::GSE140228_droplet::patient::GSE140228_droplet::D20180110	sample_pair	006::GSE140228_droplet::D20180110_N__006::GSE140228_droplet::D20180110_T	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE140228_droplet::patient::GSE140228_droplet::D20180110	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
006::GSE140228_droplet::patient::GSE140228_droplet::D20180110	sample_pair	006::GSE140228_droplet::D20180110_T__006::GSE140228_droplet::D20180110_TC	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE140228_droplet::patient::GSE140228_droplet::D20180110	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
006::GSE140228_droplet::patient::GSE140228_droplet::D20180116	sample_pair	006::GSE140228_droplet::D20180116_A__006::GSE140228_droplet::D20180116_LN	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE140228_droplet::patient::GSE140228_droplet::D20180116	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
006::GSE140228_droplet::patient::GSE140228_droplet::D20180116	sample_pair	006::GSE140228_droplet::D20180116_LN__006::GSE140228_droplet::D20180116_N	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE140228_droplet::patient::GSE140228_droplet::D20180116	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
006::GSE140228_droplet::patient::GSE140228_droplet::D20180116	sample_pair	006::GSE140228_droplet::D20180116_N__006::GSE140228_droplet::D20180116_T	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE140228_droplet::patient::GSE140228_droplet::D20180116	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
006::GSE140228_droplet::patient::GSE140228_droplet::D20180116	sample_pair	006::GSE140228_droplet::D20180116_T__006::GSE140228_droplet::D20180116_TC	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE140228_droplet::patient::GSE140228_droplet::D20180116	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	sample_pair	006::GSE140228_smartseq2::60101-801__006::GSE140228_smartseq2::60109-802	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	sample_pair	006::GSE140228_smartseq2::60109-802__006::GSE140228_smartseq2::601105-814	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	sample_pair	006::GSE140228_smartseq2::601105-814__006::GSE140228_smartseq2::601113-815	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	sample_pair	006::GSE140228_smartseq2::601113-815__006::GSE140228_smartseq2::601121-816	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	sample_pair	006::GSE140228_smartseq2::601121-816__006::GSE140228_smartseq2::601129-817	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	sample_pair	006::GSE140228_smartseq2::601129-817__006::GSE140228_smartseq2::601137-818	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	sample_pair	006::GSE140228_smartseq2::601137-818__006::GSE140228_smartseq2::601145-819	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	sample_pair	006::GSE140228_smartseq2::601145-819__006::GSE140228_smartseq2::601153-820	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	sample_pair	006::GSE140228_smartseq2::601153-820__006::GSE140228_smartseq2::601161-821	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	sample_pair	006::GSE140228_smartseq2::601161-821__006::GSE140228_smartseq2::601169-822	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	sample_pair	006::GSE140228_smartseq2::601169-822__006::GSE140228_smartseq2::60117-803	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	sample_pair	006::GSE140228_smartseq2::60117-803__006::GSE140228_smartseq2::601177-823	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	sample_pair	006::GSE140228_smartseq2::601177-823__006::GSE140228_smartseq2::601185-824	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	sample_pair	006::GSE140228_smartseq2::601185-824__006::GSE140228_smartseq2::60125-804	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	sample_pair	006::GSE140228_smartseq2::60125-804__006::GSE140228_smartseq2::60133-805	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	sample_pair	006::GSE140228_smartseq2::60133-805__006::GSE140228_smartseq2::60149-807	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	sample_pair	006::GSE140228_smartseq2::60149-807__006::GSE140228_smartseq2::60157-808	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	sample_pair	006::GSE140228_smartseq2::60157-808__006::GSE140228_smartseq2::60165-809	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	sample_pair	006::GSE140228_smartseq2::60165-809__006::GSE140228_smartseq2::60173-810	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	sample_pair	006::GSE140228_smartseq2::60173-810__006::GSE140228_smartseq2::60181-811	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	sample_pair	006::GSE140228_smartseq2::60181-811__006::GSE140228_smartseq2::60189-812	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	sample_pair	006::GSE140228_smartseq2::60189-812__006::GSE140228_smartseq2::60197-813	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	sample_pair	006::GSE140228_smartseq2::60197-813__006::GSE140228_smartseq2::60202-801	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	sample_pair	006::GSE140228_smartseq2::60202-801__006::GSE140228_smartseq2::60210-802	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	sample_pair	006::GSE140228_smartseq2::60210-802__006::GSE140228_smartseq2::602106-814	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	sample_pair	006::GSE140228_smartseq2::602106-814__006::GSE140228_smartseq2::602114-815	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	sample_pair	006::GSE140228_smartseq2::602114-815__006::GSE140228_smartseq2::602122-816	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	sample_pair	006::GSE140228_smartseq2::602122-816__006::GSE140228_smartseq2::602130-817	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	sample_pair	006::GSE140228_smartseq2::602130-817__006::GSE140228_smartseq2::602138-818	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	sample_pair	006::GSE140228_smartseq2::602138-818__006::GSE140228_smartseq2::602146-819	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	sample_pair	006::GSE140228_smartseq2::602146-819__006::GSE140228_smartseq2::602154-820	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	sample_pair	006::GSE140228_smartseq2::602154-820__006::GSE140228_smartseq2::602162-821	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	sample_pair	006::GSE140228_smartseq2::602162-821__006::GSE140228_smartseq2::602170-822	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	sample_pair	006::GSE140228_smartseq2::602170-822__006::GSE140228_smartseq2::602178-823	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	sample_pair	006::GSE140228_smartseq2::602178-823__006::GSE140228_smartseq2::60218-803	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	sample_pair	006::GSE140228_smartseq2::60218-803__006::GSE140228_smartseq2::602186-824	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	sample_pair	006::GSE140228_smartseq2::602186-824__006::GSE140228_smartseq2::60226-804	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	sample_pair	006::GSE140228_smartseq2::60226-804__006::GSE140228_smartseq2::60234-805	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	sample_pair	006::GSE140228_smartseq2::60234-805__006::GSE140228_smartseq2::60250-807	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	sample_pair	006::GSE140228_smartseq2::60250-807__006::GSE140228_smartseq2::60258-808	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	sample_pair	006::GSE140228_smartseq2::60258-808__006::GSE140228_smartseq2::60266-809	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	sample_pair	006::GSE140228_smartseq2::60266-809__006::GSE140228_smartseq2::60274-810	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	sample_pair	006::GSE140228_smartseq2::60274-810__006::GSE140228_smartseq2::60290-812	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	sample_pair	006::GSE140228_smartseq2::60290-812__006::GSE140228_smartseq2::60298-813	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	sample_pair	006::GSE140228_smartseq2::60298-813__006::GSE140228_smartseq2::60303-801	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	sample_pair	006::GSE140228_smartseq2::60303-801__006::GSE140228_smartseq2::603107-814	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	sample_pair	006::GSE140228_smartseq2::603107-814__006::GSE140228_smartseq2::60311-802	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	sample_pair	006::GSE140228_smartseq2::60311-802__006::GSE140228_smartseq2::603115-815	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE140228_smartseq2::patient::GSE140228_smartseq2::unknown	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
