physical_unit_id	source_id	dataset_id	opaque_patient_id	technical_eligibility	technical_reasons	technical_row_hash
TENX::V1_Breast_Cancer_Block_A_Section_1	013_10x_cancer	TENX_V1_BREAST_CANCER_BLOCK_A	TENX_V1_BREAST_CANCER_BLOCK_A::PATIENT::575bdd5279729260	ineligible	counts_not_technically_available|observation_count_unavailable	d6af1d8d23cc2be5d5a5f1e970d58a5f38faf924dc5cfac56ec31e88a35956ba
TENX::V1_Breast_Cancer_Block_A_Section_2	013_10x_cancer	TENX_V1_BREAST_CANCER_BLOCK_A	TENX_V1_BREAST_CANCER_BLOCK_A::PATIENT::575bdd5279729260	ineligible	counts_not_technically_available|observation_count_unavailable	f687ffaa1d4ff40b88886cba8af2c7d91c8f4b52e9f0f80fb9a0cacd57e15d69
ATLAS::atlas_s2_row_0085	013_ATLAS_TABLE_S2	atlas_s2::brca::f43bd8bcc2b2		ineligible	counts_not_technically_available|observation_count_unavailable|patient_identity_missing|record_status_not_current	4789210acd5d613f75f27c8ae833a378454cfca66eefbe29445dd2e12b10f26e
ATLAS::atlas_s2_row_0086	013_ATLAS_TABLE_S2	atlas_s2::brca::f43bd8bcc2b2		ineligible	counts_not_technically_available|observation_count_unavailable|patient_identity_missing|record_status_not_current	c8c4f30d02732426128762ef3e32d8ac3612c4f458635269d7aac08172fc29eb
ATLAS::atlas_s2_row_0087	013_ATLAS_TABLE_S2	atlas_s2::brca::f43bd8bcc2b2		ineligible	counts_not_technically_available|observation_count_unavailable|patient_identity_missing|record_status_not_current	b8a857d53c3666e3844d2c97a8a774266ac5fecb623b8109c9f7e412c25783e9
ATLAS::atlas_s2_row_0088	013_ATLAS_TABLE_S2	atlas_s2::brca::f43bd8bcc2b2		ineligible	counts_not_technically_available|observation_count_unavailable|patient_identity_missing|record_status_not_current	dae7980614bba6905180c59bde888b772e5e3def78f33785b055410cb3995e81
ATLAS::atlas_s2_row_0089	013_ATLAS_TABLE_S2	atlas_s2::brca::f43bd8bcc2b2		ineligible	counts_not_technically_available|observation_count_unavailable|patient_identity_missing|record_status_not_current	a8591d00c31c26371e776b5631bc7ad52a3a0130ff8e222d4c0f33722d0b8ab4
ATLAS::atlas_s2_row_0090	013_ATLAS_TABLE_S2	atlas_s2::brca::f43bd8bcc2b2		ineligible	counts_not_technically_available|observation_count_unavailable|patient_identity_missing|record_status_not_current	96c124f3b74300d3ed1fcc03606bf487b43aebad8924a8624357072cf0ae4a2c
ATLAS::atlas_s2_row_0091	013_ATLAS_TABLE_S2	atlas_s2::brca::f43bd8bcc2b2		ineligible	counts_not_technically_available|observation_count_unavailable|patient_identity_missing|record_status_not_current	923f798d4a3ff540125099b4c787eda1ad95a890fabfd775506450ac5673205e
ATLAS::atlas_s2_row_0092	013_ATLAS_TABLE_S2	atlas_s2::brca::f43bd8bcc2b2		ineligible	counts_not_technically_available|observation_count_unavailable|patient_identity_missing|record_status_not_current	4edf236f6f9e43536df92d959424f71fe33762efa580d3aba9ba004ed9a1daaf
ATLAS::atlas_s2_row_0093	013_ATLAS_TABLE_S2	atlas_s2::brca::f43bd8bcc2b2		ineligible	counts_not_technically_available|observation_count_unavailable|patient_identity_missing|record_status_not_current	47fabf9be92f26ad2cdae8477cebd3df66c497b8c2d6ada94e83da8a4630552f
ATLAS::atlas_s2_row_0094	013_ATLAS_TABLE_S2	atlas_s2::brca::f43bd8bcc2b2		ineligible	counts_not_technically_available|observation_count_unavailable|patient_identity_missing|record_status_not_current	85170a2961f0a56d4c8621e23377543a636e77ec468a6a1b7e5e7154e4a65f55
ATLAS::atlas_s2_row_0095	013_ATLAS_TABLE_S2	atlas_s2::brca::f43bd8bcc2b2		ineligible	counts_not_technically_available|observation_count_unavailable|patient_identity_missing|record_status_not_current	5097850b233a67b559af06798ac6f844aee1d7013fb190dad3cb9d48f844a3d1
ATLAS::atlas_s2_row_0096	013_ATLAS_TABLE_S2	atlas_s2::brca::f43bd8bcc2b2		ineligible	counts_not_technically_available|observation_count_unavailable|patient_identity_missing|record_status_not_current	f5d6c50f8a9a63652a035bf3dfafcccc428d537baec6201161b3a259679c1b95
ATLAS::atlas_s2_row_0097	013_ATLAS_TABLE_S2	atlas_s2::brca::f43bd8bcc2b2		ineligible	counts_not_technically_available|observation_count_unavailable|patient_identity_missing|record_status_not_current	f181b9013bd9a1e4cfe7bb47dc00ad79f362f5036c3196c6b49d3cfa6ae9e07a
ATLAS::atlas_s2_row_0098	013_ATLAS_TABLE_S2	atlas_s2::brca::f43bd8bcc2b2		ineligible	counts_not_technically_available|observation_count_unavailable|patient_identity_missing|record_status_not_current	5795f2e016c700e8b2a542abdb3566988245344a2f9e45a6a817731e19185725
ATLAS::atlas_s2_row_0099	013_ATLAS_TABLE_S2	atlas_s2::brca::f43bd8bcc2b2		ineligible	counts_not_technically_available|observation_count_unavailable|patient_identity_missing|record_status_not_current	c096cf561d1996bef11ab263ec2a0ae5d88b0251dbab9b33c027a24bdba98ea0
ATLAS::atlas_s2_row_0100	013_ATLAS_TABLE_S2	atlas_s2::brca::f43bd8bcc2b2		ineligible	counts_not_technically_available|observation_count_unavailable|patient_identity_missing|record_status_not_current	dbd45d81f014fffd2c6ca488924e4f8fa16d5afb972ce1875dd732171e6095d5
ATLAS::atlas_s2_row_0169	013_ATLAS_TABLE_S2	atlas_s2::stad::698c46f02346		ineligible	counts_not_technically_available|observation_count_unavailable|patient_identity_missing|record_status_not_current	3b46167b1dabd62e9324d753f64a3dcb1b051b8e8b8ca9c696d8e31e093dd517
ATLAS::atlas_s2_row_0170	013_ATLAS_TABLE_S2	atlas_s2::stad::698c46f02346		ineligible	counts_not_technically_available|observation_count_unavailable|patient_identity_missing|record_status_not_current	7620cde71224d8d0a991f3403be87f05046a94743e1c73991ee5e80b74e45b71
ATLAS::atlas_s2_row_0171	013_ATLAS_TABLE_S2	atlas_s2::stad::698c46f02346		ineligible	counts_not_technically_available|observation_count_unavailable|patient_identity_missing|record_status_not_current	d50a8cbe53ff652bb93a9513c06fc407f73bf3fe6bae4bcd225b2c6fe530c4ce
ATLAS::atlas_s2_row_0172	013_ATLAS_TABLE_S2	atlas_s2::stad::698c46f02346		ineligible	counts_not_technically_available|observation_count_unavailable|patient_identity_missing|record_status_not_current	fe70f719a08a1096e7a0e31c5bdd9d37f6510577a318c26455d50030171e85f6
ATLAS::atlas_s2_row_0173	013_ATLAS_TABLE_S2	atlas_s2::stad::698c46f02346		ineligible	counts_not_technically_available|observation_count_unavailable|patient_identity_missing|record_status_not_current	c404a6ebc441687e1242e984ac6bf33096a9eddf32b63fe5610804c5683339c5
ATLAS::atlas_s2_row_0174	013_ATLAS_TABLE_S2	atlas_s2::stad::698c46f02346		ineligible	counts_not_technically_available|observation_count_unavailable|patient_identity_missing|record_status_not_current	02b3b9be3ee2576221746be057583d7e61468eef5a5789e63695dcb1fd8caf59
ATLAS::atlas_s2_row_0175	013_ATLAS_TABLE_S2	atlas_s2::stad::698c46f02346		ineligible	counts_not_technically_available|observation_count_unavailable|patient_identity_missing|record_status_not_current	bd4cebcda200d465029bd5217fce61ba3d088c06444011834b6f87ebe4e0e608
ATLAS::atlas_s2_row_0176	013_ATLAS_TABLE_S2	atlas_s2::stad::698c46f02346		ineligible	counts_not_technically_available|observation_count_unavailable|patient_identity_missing|record_status_not_current	7e644a73c6e6b7bf8bff477c407646f3367dbd541c98ff11743f18b106dc1106
ATLAS::atlas_s2_row_0177	013_ATLAS_TABLE_S2	atlas_s2::stad::698c46f02346		ineligible	counts_not_technically_available|observation_count_unavailable|patient_identity_missing|record_status_not_current	ab04628db025f32c0a24d66b9e1819fd5a37b21e8f5b4dae4f56a095e842ec32
ATLAS::atlas_s2_row_0178	013_ATLAS_TABLE_S2	atlas_s2::stad::698c46f02346		ineligible	counts_not_technically_available|observation_count_unavailable|patient_identity_missing|record_status_not_current	e45ea99592c01d5ce3ed2a1e7905662bbba756aaa49c2c9da4fbcfc87f65d7c0
ATLAS::atlas_s2_row_0179	013_ATLAS_TABLE_S2	atlas_s2::stad::698c46f02346		ineligible	counts_not_technically_available|observation_count_unavailable|patient_identity_missing|record_status_not_current	26b0d38be1df83bc08599938392e9a2c8ae107a595ef66368acb874388203f59
ATLAS::atlas_s2_row_0180	013_ATLAS_TABLE_S2	atlas_s2::stad::698c46f02346		ineligible	counts_not_technically_available|observation_count_unavailable|patient_identity_missing|record_status_not_current	770273e67a1c50f6862706a7dcfd4e219155053351ead7205b2b957b29fe4c42
ATLAS::atlas_s2_row_0181	013_ATLAS_TABLE_S2	atlas_s2::stad::698c46f02346		ineligible	counts_not_technically_available|observation_count_unavailable|patient_identity_missing|record_status_not_current	55b1af5faee10928d39022b09b2cce91fb1fb1e8418d2c7f1b9bfdcfeb83d0ad
ATLAS::atlas_s2_row_0182	013_ATLAS_TABLE_S2	atlas_s2::stad::698c46f02346		ineligible	counts_not_technically_available|observation_count_unavailable|patient_identity_missing|record_status_not_current	24de65353a8df948bf3b6e16dd40941dfdb9d4dde132b6bfa3e43c117ded4757
ATLAS::atlas_s2_row_0183	013_ATLAS_TABLE_S2	atlas_s2::stad::698c46f02346		ineligible	counts_not_technically_available|observation_count_unavailable|patient_identity_missing|record_status_not_current	e88e857e10a7e4a764ae85e873d830eba5f392f0bbe1c2d8c8f40a76de18b55f
ATLAS::atlas_s2_row_0184	013_ATLAS_TABLE_S2	atlas_s2::stad::698c46f02346		ineligible	counts_not_technically_available|observation_count_unavailable|patient_identity_missing|record_status_not_current	b8f069f554272b9d9144a87a23ecae3c0359736778b7932f3511a0ae08676a7c
ATLAS::atlas_s2_row_0185	013_ATLAS_TABLE_S2	atlas_s2::stad::698c46f02346		ineligible	counts_not_technically_available|observation_count_unavailable|patient_identity_missing|record_status_not_current	9ed2c48809cf63778f0bff3fed779030ab5f035b7a0401dc3c92cbec5a703ed4
ATLAS::atlas_s2_row_0186	013_ATLAS_TABLE_S2	atlas_s2::stad::698c46f02346		ineligible	counts_not_technically_available|observation_count_unavailable|patient_identity_missing|record_status_not_current	d8571847c79af7c27510ff93f3f8ec6d2c2be8d4290f8084ee3e85ae75505054
ATLAS::atlas_s2_row_0187	013_ATLAS_TABLE_S2	atlas_s2::stad::698c46f02346		ineligible	counts_not_technically_available|observation_count_unavailable|patient_identity_missing|record_status_not_current	582d6984562e86e93afad35f9f56b66220ebf382e7997dad2f8a1498086df8a0
ATLAS::atlas_s2_row_0188	013_ATLAS_TABLE_S2	atlas_s2::stad::698c46f02346		ineligible	counts_not_technically_available|observation_count_unavailable|patient_identity_missing|record_status_not_current	30543ff5a77b669853be216ba321569f0990039de8b6e01d6383fb34e686b056
ATLAS::atlas_s2_row_0312	013_ATLAS_TABLE_S2	atlas_s2::gbm::12efcbacdaae		ineligible	counts_not_technically_available|observation_count_unavailable|patient_identity_missing|record_status_not_current	66dc53bd22efab7179ec2900bf3af4e35100ce03cae8e7f7ebe411f5ebd823c2
ATLAS::atlas_s2_row_0313	013_ATLAS_TABLE_S2	atlas_s2::gbm::12efcbacdaae		ineligible	counts_not_technically_available|observation_count_unavailable|patient_identity_missing|record_status_not_current	ac838d7944a5646ec6713f4a5487239d24fdc8aa7be194dac2e4e617714f3871
ATLAS::atlas_s2_row_0317	013_ATLAS_TABLE_S2	atlas_s2::gbm::12efcbacdaae		ineligible	counts_not_technically_available|observation_count_unavailable|patient_identity_missing|record_status_not_current	a4ecf5cd7182985bc6adc6385425c309a8104894bbeaf734a0f513a236a7bed8
ATLAS::atlas_s2_row_0318	013_ATLAS_TABLE_S2	atlas_s2::gbm::12efcbacdaae		ineligible	counts_not_technically_available|observation_count_unavailable|patient_identity_missing|record_status_not_current	b7ca24110075686b7946682b6142e5e3dd7e0d7eb061c6335136c3d4cdeb546f
ATLAS::atlas_s2_row_0141	013_ATLAS_TABLE_S2	atlas_s2::blca::412232635816	atlas_s2::blca::412232635816::PATIENT::3b35063aea342f15	ineligible	counts_not_technically_available|observation_count_unavailable|record_status_not_current	57317f03b740e3e8d4911c7818224a453fdcb68e9ec5acda419f79d93dbb7780
ATLAS::atlas_s2_row_0140	013_ATLAS_TABLE_S2	atlas_s2::blca::412232635816	atlas_s2::blca::412232635816::PATIENT::542560dc79d424f2	ineligible	counts_not_technically_available|observation_count_unavailable|record_status_not_current	84807f7f4f2a5758a8832715f0acb9b4eb202ac763c3086ee6fb5f97c4e8fee1
ATLAS::atlas_s2_row_0139	013_ATLAS_TABLE_S2	atlas_s2::blca::412232635816	atlas_s2::blca::412232635816::PATIENT::5474db36093c6427	ineligible	counts_not_technically_available|observation_count_unavailable|record_status_not_current	d85b2ea46a274134e929be113ddeb09e46a4eaeaa01037c26c136fdfee77dc3d
ATLAS::atlas_s2_row_0142	013_ATLAS_TABLE_S2	atlas_s2::blca::412232635816	atlas_s2::blca::412232635816::PATIENT::e9048014007d4349	ineligible	counts_not_technically_available|observation_count_unavailable|record_status_not_current	9772763e0de7d75a1728a53d8cd417b422f737a4314ec5e75ec6165d4aa038d4
ATLAS::atlas_s2_row_0131	013_ATLAS_TABLE_S2	atlas_s2::blca::5d94c2a09da1	atlas_s2::blca::5d94c2a09da1::PATIENT::0e4871a1f504c302	ineligible	counts_not_technically_available|observation_count_unavailable|record_status_not_current	941932cee3d45ab885bc0bdae92bf6eda6c74c6bb165a8401f11b6d671f239f4
ATLAS::atlas_s2_row_0135	013_ATLAS_TABLE_S2	atlas_s2::blca::5d94c2a09da1	atlas_s2::blca::5d94c2a09da1::PATIENT::3e8bd29be5a3205b	ineligible	counts_not_technically_available|observation_count_unavailable|record_status_not_current	0d727050bdb7803fcabafe79f1930895a8b1d4963d06b713a800b381cd1ce055
ATLAS::atlas_s2_row_0130	013_ATLAS_TABLE_S2	atlas_s2::blca::5d94c2a09da1	atlas_s2::blca::5d94c2a09da1::PATIENT::5fc11f6cffe18f68	ineligible	counts_not_technically_available|observation_count_unavailable|record_status_not_current	9d6b966e53461884ef5bd6c9f754dd021d1924594a86f6004e85c561702e52b0
ATLAS::atlas_s2_row_0132	013_ATLAS_TABLE_S2	atlas_s2::blca::5d94c2a09da1	atlas_s2::blca::5d94c2a09da1::PATIENT::6eab34813b795d4b	ineligible	counts_not_technically_available|observation_count_unavailable|record_status_not_current	c6acf49eab64de3d8f7e6e5d32bb6b15e53d0aa4dffb6ca7fafc699a394dd6cd
ATLAS::atlas_s2_row_0138	013_ATLAS_TABLE_S2	atlas_s2::blca::5d94c2a09da1	atlas_s2::blca::5d94c2a09da1::PATIENT::82362665263d970e	ineligible	counts_not_technically_available|observation_count_unavailable|record_status_not_current	69dcfb272d4c30dd7cf59905d5d0458a9d27bc9c1b89e001483cf1a69ea2a484
ATLAS::atlas_s2_row_0129	013_ATLAS_TABLE_S2	atlas_s2::blca::5d94c2a09da1	atlas_s2::blca::5d94c2a09da1::PATIENT::916698ffc9d0ede5	ineligible	counts_not_technically_available|observation_count_unavailable|record_status_not_current	a9166384771acf28caa9d8d15e05b895e0394fab9a7ca32abb59171de23ef3e4
ATLAS::atlas_s2_row_0133	013_ATLAS_TABLE_S2	atlas_s2::blca::5d94c2a09da1	atlas_s2::blca::5d94c2a09da1::PATIENT::bc9e488b0eb2c103	ineligible	counts_not_technically_available|observation_count_unavailable|record_status_not_current	87b577ed8e4871da5bbabebc04c3429f48a0948a7513de2ee12c8d1b7bc22820
ATLAS::atlas_s2_row_0134	013_ATLAS_TABLE_S2	atlas_s2::blca::5d94c2a09da1	atlas_s2::blca::5d94c2a09da1::PATIENT::c9a3c817028d5cac	ineligible	counts_not_technically_available|observation_count_unavailable|record_status_not_current	35c66d5a8b4886f9639e090d44c021cdd5fe3be92400721b81295e841063a6c6
ATLAS::atlas_s2_row_0136	013_ATLAS_TABLE_S2	atlas_s2::blca::5d94c2a09da1	atlas_s2::blca::5d94c2a09da1::PATIENT::d5c5ed7e1061b590	ineligible	counts_not_technically_available|observation_count_unavailable|record_status_not_current	02a7c59b0d3d853a67fc44a47c0ab49d6af80a1c53454950a8dccfc0d7567804
ATLAS::atlas_s2_row_0137	013_ATLAS_TABLE_S2	atlas_s2::blca::5d94c2a09da1	atlas_s2::blca::5d94c2a09da1::PATIENT::de0aec80c970ac07	ineligible	counts_not_technically_available|observation_count_unavailable|record_status_not_current	385152644c3a9b94ef28121bc4e64ed8e7131cdccc8d4e611781ebdbdaca9ef0
ATLAS::atlas_s2_row_0067	013_ATLAS_TABLE_S2	atlas_s2::brca::0d3358b91b69	atlas_s2::brca::0d3358b91b69::PATIENT::408c158bcd3935a4	ineligible	counts_not_technically_available|observation_count_unavailable|record_status_not_current	a9e59e594e31cadfc8d187c7be11e473079d42c66b07da4229154e60219648cf
ATLAS::atlas_s2_row_0068	013_ATLAS_TABLE_S2	atlas_s2::brca::0d3358b91b69	atlas_s2::brca::0d3358b91b69::PATIENT::408c158bcd3935a4	ineligible	counts_not_technically_available|observation_count_unavailable|record_status_not_current	f59301096f6efa218a7d9bfb36a2e7e2b96a107f7bb5dc24aa573dc42d1bc0cb
ATLAS::atlas_s2_row_0069	013_ATLAS_TABLE_S2	atlas_s2::brca::0d3358b91b69	atlas_s2::brca::0d3358b91b69::PATIENT::408c158bcd3935a4	ineligible	counts_not_technically_available|observation_count_unavailable|record_status_not_current	ffc883e12242330ae1f5b0805c9f0ef442fead739803abb4fe14e16639466111
ATLAS::atlas_s2_row_0040	013_ATLAS_TABLE_S2	atlas_s2::brca::0d3358b91b69	atlas_s2::brca::0d3358b91b69::PATIENT::47d97a3c9cefc540	ineligible	counts_not_technically_available|observation_count_unavailable|record_status_not_current	5d53c5e520db67be3d4b10613ae65133cbb2c7e7dc7684d130e75cc04660a64d
ATLAS::atlas_s2_row_0041	013_ATLAS_TABLE_S2	atlas_s2::brca::0d3358b91b69	atlas_s2::brca::0d3358b91b69::PATIENT::47d97a3c9cefc540	ineligible	counts_not_technically_available|observation_count_unavailable|record_status_not_current	f5ac3059be074bfbc50e007c6ace242ccb381d038deecb742e19f44beca0063f
ATLAS::atlas_s2_row_0042	013_ATLAS_TABLE_S2	atlas_s2::brca::0d3358b91b69	atlas_s2::brca::0d3358b91b69::PATIENT::47d97a3c9cefc540	ineligible	counts_not_technically_available|observation_count_unavailable|record_status_not_current	d5e566bbc650b7c984535cc2af01ea1db89a7ffccef43876aead5bab6dfff4db
ATLAS::atlas_s2_row_0043	013_ATLAS_TABLE_S2	atlas_s2::brca::0d3358b91b69	atlas_s2::brca::0d3358b91b69::PATIENT::47d97a3c9cefc540	ineligible	counts_not_technically_available|observation_count_unavailable|record_status_not_current	fffa3aafb883782d45223dff2f884d2af18889ace51f74e760a4b404755b1b73
ATLAS::atlas_s2_row_0044	013_ATLAS_TABLE_S2	atlas_s2::brca::0d3358b91b69	atlas_s2::brca::0d3358b91b69::PATIENT::47d97a3c9cefc540	ineligible	counts_not_technically_available|observation_count_unavailable|record_status_not_current	95c24409e58b1460c9216a5c8425a8ab6ea4918efd7985b65f95caaf90e989f1
